"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
0,"Australia","Water use - Vegetables - Volume applied (ML)","356272.36",2993.07,"Water use ","Vegetables ","Volume applied (ML)"
0,"Australia","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","200345.95",5748.76,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
0,"Australia","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","172790",4230.48,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
0,"Australia","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","1071134.34",4230.48,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
0,"Australia","Water use - Grapevines - Total area grown (ha)","136220.7",4087.46,"Water use ","Grapevines ","Total area grown (ha)"
0,"Australia","Water use - Grapevines - Area watered (ha)","123986.51",3564.12,"Water use ","Grapevines ","Area watered (ha)"
0,"Australia","Water use - Grapevines - Volume applied (ML)","469295.85",3564.12,"Water use ","Grapevines ","Volume applied (ML)"
0,"Australia","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","15080.3",1954.39,"Water use ","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
0,"Australia","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","11085.67",1446.13,"Water use ","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
0,"Australia","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","48939.06",1446.13,"Water use ","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
0,"Australia","Water use - Rice - Total area grown (ha)","5007.19",92.17,"Water use ","Rice ","Total area grown (ha)"
0,"Australia","Water use - Rice - Area watered (ha)","5007.19",92.17,"Water use ","Rice ","Area watered (ha)"
0,"Australia","Water use - Rice - Volume applied (ML)","61033.39",92.17,"Water use ","Rice ","Volume applied (ML)"
0,"Australia","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","16118163.16",23062.16,"Water use ","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
0,"Australia","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","158805.57",968.97,"Water use ","Cereals for grain or seed, excluding rice ","Area watered (ha)"
0,"Australia","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","381317.49",968.97,"Water use ","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
0,"Australia","Water use - Cotton - Total area grown (ha) (c)","69885.71",312.71,"Water use ","Cotton "," Total area grown (ha) (c)"
0,"Australia","Water use - Cotton - Area watered (ha)","54864.7",279.14,"Water use ","Cotton ","Area watered (ha)"
0,"Australia","Water use - Cotton - Volume applied (ML)","379601",279.14,"Water use ","Cotton ","Volume applied (ML)"
0,"Australia","Water use - Sugar cane - Total area grown (ha) (d)","404167.55",3189.91,"Water use ","Sugar cane ","Total area grown (ha) (d)"
0,"Australia","Water use - Sugar cane - Area watered (ha)","189279.33",1553.16,"Water use ","Sugar cane ","Area watered (ha)"
0,"Australia","Water use - Sugar cane - Volume applied (ML)","886877.96",1553.16,"Water use ","Sugar cane ","Volume applied (ML)"
0,"Australia","Water use - Other crops n.e.c. - Total area grown (ha) (e)","4479498.7",14318.35,"Water use ","Other crops n.e.c.","Total area grown (ha) (e)"
0,"Australia","Water use - Other crops n.e.c. - Area watered (ha)","69211.62",773.46,"Water use ","Other crops n.e.c.","Area watered (ha)"
0,"Australia","Water use - Other crops n.e.c. - Volume applied (ML)","157301.61",773.46,"Water use ","Other crops n.e.c.","Volume applied (ML)"
1,"New South Wales","Area of holding - Total area (ha) (a)","51279789.72",26559.28,"Area of holding ","",""
1,"New South Wales","Number of agricultural businesses (no.)","26559.28",26559.28,"","",""
1,"New South Wales","Number of agricultural businesses irrigating (no.)","4663.75",4663.75,"","",""
1,"New South Wales","Water source - Total volume of water from all sources (ML) (b)","1410463.68",12016.44,"Water source ","",""
1,"New South Wales","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","368421.52",1428.96,"Water source "," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","50177.24",4766.83,"Water source "," Water taken from on farm dams or tanks","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","310922.6",3150.86,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","284222.21",1376.6,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","26700.39",1805.05,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
1,"New South Wales","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","662881.76",4798.81,"Water source ","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
1,"New South Wales","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","10274.88",129.8,"Water source ","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
1,"New South Wales","Water source - Town or reticulated mains supply - Total volume used (ML)","6125.03",858.06,"Water source ","Town or reticulated mains supply ","Total volume used (ML)"
1,"New South Wales","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","1660.65",36.79,"Water source ","Other sources of water (excluding rainfall) ","Total volume used (ML)"
1,"New South Wales","Water use - Total area watered (ha)","365425.24",4663.75,"Water use ","",""
1,"New South Wales","Water use - Total volume applied (ML)","1280943.85",4663.75,"Water use ","",""
1,"New South Wales","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","532862.38",5057.02,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Total area grown (ha)"
1,"New South Wales","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","46644.52",807.5,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
1,"New South Wales","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","137380.07",807.5,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
1,"New South Wales","Water use - Vegetables - Total area grown (ha)","10200.19",841.84,"Water use ","Vegetables ","Total area grown (ha)"
1,"New South Wales","Water use - Vegetables - Area watered (ha)","8066.19",705.82,"Water use ","Vegetables ","Area watered (ha)"
1,"New South Wales","Water use - Vegetables - Volume applied (ML)","34845.18",705.82,"Water use ","Vegetables ","Volume applied (ML)"
1,"New South Wales","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","50037.47",1846.76,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
1,"New South Wales","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","38380.5",1105.84,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
1,"New South Wales","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","213063.67",1105.84,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
1,"New South Wales","Water use - Grapevines - Total area grown (ha)","32191.95",723.67,"Water use ","Grapevines ","Total area grown (ha)"
1,"New South Wales","Water use - Grapevines - Area watered (ha)","27748.28",658.16,"Water use ","Grapevines ","Area watered (ha)"
1,"New South Wales","Water use - Grapevines - Volume applied (ML)","134885.79",658.16,"Water use ","Grapevines ","Volume applied (ML)"
1,"New South Wales","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","4045",633.14,"Water use ","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
1,"New South Wales","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","3193.42",467.92,"Water use ","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
1,"New South Wales","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","11842.27",467.92,"Water use ","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
1,"New South Wales","Water use - Rice - Total area grown (ha)","4247.1",85.58,"Water use ","Rice ","Total area grown (ha)"
1,"New South Wales","Water use - Rice - Area watered (ha)","4247.1",85.58,"Water use ","Rice ","Area watered (ha)"
1,"New South Wales","Water use - Rice - Volume applied (ML)","54621.49",85.58,"Water use ","Rice ","Volume applied (ML)"
1,"New South Wales","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","3402802.4",7075.62,"Water use ","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
1,"New South Wales","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","86271.72",436.8,"Water use ","Cereals for grain or seed, excluding rice ","Area watered (ha)"
1,"New South Wales","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","216307.65",436.8,"Water use ","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
1,"New South Wales","Water use - Cotton - Total area grown (ha) (c)","54629.43",222.72,"Water use ","Cotton "," Total area grown (ha) (c)"
1,"New South Wales","Water use - Cotton - Area watered (ha)","39808.41",189.15,"Water use ","Cotton ","Area watered (ha)"
1,"New South Wales","Water use - Cotton - Volume applied (ML)","263721.27",189.15,"Water use ","Cotton ","Volume applied (ML)"
1,"New South Wales","Water use - Sugar cane - Total area grown (ha) (d)","21607.74",264.53,"Water use ","Sugar cane ","Total area grown (ha) (d)"
1,"New South Wales","Water use - Sugar cane - Area watered (ha)","473.24",24.19,"Water use ","Sugar cane ","Area watered (ha)"
1,"New South Wales","Water use - Sugar cane - Volume applied (ML)","2214.98",24.19,"Water use ","Sugar cane ","Volume applied (ML)"
1,"New South Wales","Water use - Other crops n.e.c. - Total area grown (ha) (e)","792163.87",3916.41,"Water use ","Other crops n.e.c.","Total area grown (ha) (e)"
1,"New South Wales","Water use - Other crops n.e.c. - Area watered (ha)","16440.86",114.15,"Water use ","Other crops n.e.c.","Area watered (ha)"
1,"New South Wales","Water use - Other crops n.e.c. - Volume applied (ML)","24959.05",114.15,"Water use ","Other crops n.e.c.","Volume applied (ML)"
2,"Victoria","Area of holding - Total area (ha) (a)","11261266.32",21688.75,"Area of holding ","",""
2,"Victoria","Number of agricultural businesses (no.)","21688.75",21688.75,"","",""
2,"Victoria","Number of agricultural businesses irrigating (no.)","5123.23",5123.23,"","",""
2,"Victoria","Water source - Total volume of water from all sources (ML) (b)","1503186.47",12239.04,"Water source ","",""
2,"Victoria","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","803093.06",2754.9,"Water source "," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
2,"Victoria","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","78673.01",5289.97,"Water source ","Water taken from on farm dams or tanks","Total volume used (ML)"
2,"Victoria","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","274353.98",2330.78,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
2,"Victoria","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","263109.28",1372.53,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
2,"Victoria","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","11244.7",972.31,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
2,"Victoria","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","265862.39",4087.66,"Water source ","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
2,"Victoria","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","67672.14",436.92,"Water source ","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
2,"Victoria","Water source - Town or reticulated mains supply - Total volume used (ML)","11810.42",1409.85,"Water source ","Town or reticulated mains supply ","Total volume used (ML)"
2,"Victoria","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","1721.47",34.8,"Water source ","Other sources of water (excluding rainfall) ","Total volume used (ML)"
2,"Victoria","Water use - Total area watered (ha)","397591.61",5123.23,"Water use ","",""
2,"Victoria","Water use - Total volume applied (ML)","1363108.13",5123.23,"Water use ","",""
2,"Victoria","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","935354.05",10370.93,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Total area grown (ha)"
2,"Victoria","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","67473.73",945.43,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
2,"Victoria","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","163106.49",945.43,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
2,"Victoria","Water use - Vegetables - Total area grown (ha)","26848.36",743.08,"Water use ","Vegetables ","Total area grown (ha)"
2,"Victoria","Water use - Vegetables - Area watered (ha)","20340.13",543.31,"Water use ","Vegetables ","Area watered (ha)"
2,"Victoria","Water use - Vegetables - Volume applied (ML)","73070.73",543.31,"Water use ","Vegetables ","Volume applied (ML)"
2,"Victoria","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","55567.28",983.63,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
2,"Victoria","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","52658.13",762.97,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
2,"Victoria","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","404229.33",762.97,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
2,"Victoria","Water use - Grapevines - Total area grown (ha)","24524.65",1068.53,"Water use ","Grapevines ","Total area grown (ha)"
2,"Victoria","Water use - Grapevines - Area watered (ha)","21534.41",858.38,"Water use ","Grapevines ","Area watered (ha)"
2,"Victoria","Water use - Grapevines - Volume applied (ML)","98785.25",858.38,"Water use ","Grapevines ","Volume applied (ML)"
2,"Victoria","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","6005.04",490.41,"Water use ","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
2,"Victoria","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","3865.29",368.22,"Water use ","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
2,"Victoria","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","11465.81",368.22,"Water use ","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
2,"Victoria","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","2665629.78",5495.54,"Water use ","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
2,"Victoria","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","22035.92",137.86,"Water use ","Cereals for grain or seed, excluding rice ","Area watered (ha)"
2,"Victoria","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","38069.07",137.86,"Water use ","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
2,"Victoria","Water use - Other crops n.e.c. - Total area grown (ha) (e)","943240.63",3437.45,"Water use ","Other crops n.e.c.","Total area grown (ha) (e)"
2,"Victoria","Water use - Other crops n.e.c. - Area watered (ha)","12027.78",84.36,"Water use ","Other crops n.e.c.","Area watered (ha)"
2,"Victoria","Water use - Other crops n.e.c. - Volume applied (ML)","29525.97",84.36,"Water use ","Other crops n.e.c.","Volume applied (ML)"
3,"Queensland","Area of holding - Total area (ha) (a)","128701969.4",18807.88,"Area of holding ","",""
3,"Queensland","Number of agricultural businesses (no.)","18807.88",18807.88,"","",""
3,"Queensland","Number of agricultural businesses irrigating (no.)","5136.06",5136.06,"","",""
3,"Queensland","Water source - Total volume of water from all sources (ML) (b)","1987653.18",10605.38,"Water source ","",""
3,"Queensland","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","709897.71",1316.49,"Water source "," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
3,"Queensland","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","214290.46",4675.07,"Water source ","Water taken from on farm dams or tanks","Total volume used (ML)"
3,"Queensland","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","440531.56",2404.21,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
3,"Queensland","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","335087.93",1211.47,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
3,"Queensland","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","105443.64",1253.73,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
3,"Queensland","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","592045.88",5739.37,"Water source ","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
3,"Queensland","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","29013.2",156.8,"Water source ","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
3,"Queensland","Water source - Town or reticulated mains supply - Total volume used (ML)","784.25",184.04,"Water source ","Town or reticulated mains supply ","Total volume used (ML)"
3,"Queensland","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","1090.11",15.58,"Water source ","Other sources of water (excluding rainfall) ","Total volume used (ML)"
3,"Queensland","Water use - Total area watered (ha)","426535.1",5136.06,"Water use ","",""
3,"Queensland","Water use - Total volume applied (ML)","1695410.02",5136.06,"Water use ","",""
3,"Queensland","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","156454.77",2778.33,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Total area grown (ha)"
3,"Queensland","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","42134.47",1004.58,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
3,"Queensland","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","169022.18",1004.58,"Water use ","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
3,"Queensland","Water use - Vegetables - Total area grown (ha)","34008.14",860.86,"Water use ","Vegetables ","Total area grown (ha)"
3,"Queensland","Water use - Vegetables - Area watered (ha)","28703.68",710.18,"Water use ","Vegetables ","Area watered (ha)"
3,"Queensland","Water use - Vegetables - Volume applied (ML)","100359.17",710.18,"Water use ","Vegetables ","Volume applied (ML)"
3,"Queensland","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","56099.12",1395.6,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
3,"Queensland","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","45991.25",1087.18,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
3,"Queensland","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","202924.8",1087.18,"Water use ","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
3,"Queensland","Water use - Grapevines - Total area grown (ha)","1744.26",58.89,"Water use ","Grapevines ","Total area grown (ha)"
3,"Queensland","Water use - Grapevines - Area watered (ha)","1299.16",49.39,"Water use ","Grapevines ","Area watered (ha)"
3,"Queensland","Water use - Grapevines - Volume applied (ML)","5029.02",49.39,"Water use ","Grapevines ","Volume applied (ML)"
3,"Queensland","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","2516.29",434.92,"Water use ","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
3,"Queensland","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","2079.03",344.83,"Water use ","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
3,"Queensland","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","12415.11",344.83,"Water use ","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
3,"Queensland","Water use - Rice - Total area grown (ha)","637",5.05,"Water use ","Rice ","Total area grown (ha)"
3,"Queensland","Water use - Rice - Area watered (ha)","637",5.05,"Water use ","Rice ","Area watered (ha)"
3,"Queensland","Water use - Rice - Volume applied (ML)","5181",5.05,"Water use ","Rice ","Volume applied (ML)"
3,"Queensland","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","761498.24",1969.9,"Water use ","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
3,"Queensland","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","27960.96",252.01,"Water use ","Cereals for grain or seed, excluding rice ","Area watered (ha)"
3,"Queensland","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","71179.67",252.01,"Water use ","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
3,"Queensland","Water use - Cotton - Total area grown (ha) (c)","14766.28",86.99,"Water use ","Cotton "," Total area grown (ha) (c)"
3,"Queensland","Water use - Cotton - Area watered (ha)","14766.28",86.99,"Water use ","Cotton ","Area watered (ha)"
3,"Queensland","Water use - Cotton - Volume applied (ML)","99139.72",86.99,"Water use ","Cotton ","Volume applied (ML)"
3,"Queensland","Water use - Sugar cane - Total area grown (ha) (d)","382557.82",2924.38,"Water use ","Sugar cane ","Total area grown (ha) (d)"
3,"Queensland","Water use - Sugar cane - Area watered (ha)","188806.09",1528.97,"Water use ","Sugar cane ","Area watered (ha)"
3,"Queensland","Water use - Sugar cane - Volume applied (ML)","884662.98",1528.97,"Water use ","Sugar cane ","Volume applied (ML)"
3,"Queensland","Water use - Other crops n.e.c. - Total area grown (ha) (e)","294388.05",1331.99,"Water use ","Other crops n.e.c.","Total area grown (ha) (e)"
3,"Queensland","Water use - Other crops n.e.c. - Area watered (ha)","14320.81",198.92,"Water use ","Other crops n.e.c.","Area watered (ha)"
3,"Queensland","Water use - Other crops n.e.c. - Volume applied (ML)","43240.46",198.92,"Water use ","Other crops n.e.c.","Volume applied (ML)"
4,"South Australia","Area of holding - Total area (ha) (a)","45351441.16",9437.86,"Area of holding ","",""
4,"South Australia","Number of agricultural businesses (no.)","9437.86",9437.86,"","",""
4,"South Australia","Number of agricultural businesses irrigating (no.)","3033.9",3033.9,"","",""
4,"South Australia","Water source - Total volume of water from all sources (ML) (b)","795024.52",6164.13,"Water source ","",""
4,"South Australia","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","168779.78",1032.44,"Water source "," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
4,"South Australia","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","14899.04",1219.41,"Water source ","Water taken from on farm dams or tanks","Total volume used (ML)"
4,"South Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","216927.68",588.56,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
4,"South Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","179135.81",449.05,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
4,"South Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","37791.87",140.5,"Water source ","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
4,"South Australia","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","365936.12",3018.37,"Water source ","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
4,"South Australia","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","15554.73",257.54,"Water source ","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
4,"South Australia","Water source - Town or reticulated mains supply - Total volume used (ML)","12919.21",1645.8,"Water source ","Town or reticulated mains supply ","Total volume used (ML)"
4,"South Australia","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","7.96",7.96,"Water source ","Other sources of water (excluding rainfall) ","Total volume used (ML)"
4,"South Australia","Water use - Total area watered (ha)","161430.18",3033.9,"Water use ","",""
4,"South Australia","Water use - Total volume applied (ML)","717213.58",3033.9,"Water use ","",""
