State,Code,Industry,Supply use,Date,Value
Tasmania,6,"Total Agriculture, forestry and fishing",Use,2017,274581
Northern Territory,7,"Total Agriculture, forestry and fishing",Use,2017,80926
Australian Capital Territory,8,"Total Agriculture, forestry and fishing",Use,2017,291
New South Wales,1,"Total Electricity, gas, water and waste services",Use,2017,664435
Victoria,2,"Total Electricity, gas, water and waste services",Use,2017,1007819
Queensland,3,"Total Electricity, gas, water and waste services",Use,2017,384520
South Australia,4,"Total Electricity, gas, water and waste services",Use,2017,137072
Western Australia,5,"Total Electricity, gas, water and waste services",Use,2017,172199
Tasmania,6,"Total Electricity, gas, water and waste services",Use,2017,36893955
Northern Territory,7,"Total Electricity, gas, water and waste services",Use,2017,23691
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",Use,2017,33351
New South Wales,1,Total mining,Use,2017,128915
Victoria,2,Total mining,Use,2017,22558
Queensland,3,Total mining,Use,2017,260673
Western Australia,5,Total mining,Use,2017,671226
Northern Territory,7,Total mining,Use,2017,21941
Australian Capital Territory,8,Total mining,Use,2017,106
New South Wales,1,"Total Agriculture, forestry and fishing",Use,2018,2989365
Victoria,2,"Total Agriculture, forestry and fishing",Use,2018,2094114
Queensland,3,"Total Agriculture, forestry and fishing",Use,2018,970696
South Australia,4,"Total Agriculture, forestry and fishing",Use,2018,368955
Western Australia,5,"Total Agriculture, forestry and fishing",Use,2018,227885
Tasmania,6,"Total Agriculture, forestry and fishing",Use,2018,290638
Northern Territory,7,"Total Agriculture, forestry and fishing",Use,2018,57979
Australian Capital Territory,8,"Total Agriculture, forestry and fishing",Use,2018,233
New South Wales,1,"Total Electricity, gas, water and waste services",Use,2018,746220
Victoria,2,"Total Electricity, gas, water and waste services",Use,2018,883935
Queensland,3,"Total Electricity, gas, water and waste services",Use,2018,371191
South Australia,4,"Total Electricity, gas, water and waste services",Use,2018,123907
Western Australia,5,"Total Electricity, gas, water and waste services",Use,2018,171621
Tasmania,6,"Total Electricity, gas, water and waste services",Use,2018,36958162
Northern Territory,7,"Total Electricity, gas, water and waste services",Use,2018,21157
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",Use,2018,33207
New South Wales,1,Total mining,Use,2018,120422
Victoria,2,Total mining,Use,2018,20841
Queensland,3,Total mining,Use,2018,259557
Western Australia,5,Total mining,Use,2018,655120
Northern Territory,7,Total mining,Use,2018,28639
Australian Capital Territory,8,Total mining,Use,2018,114
